tract_fips_2020,Tract_fips_2022,tract_name,town_name,town_fips_2020,town_fips_2022,county_name,county_fips_2020,ce_name_2022,ce_fips_2022,PUMA2020code,PUMA2020name,school_district_code,school_district_name,zip5_zcta2020
9001021502,9190021502,215.02,Stamford,900173070,919073070,Fairfield,9001,Western Connecticut Planning Region,9190,20801,Stamford & Greenwich Towns,135,Stamford,06902
9001211202,9190211202,2112.02,Danbury,900118500,919018500,Fairfield,9001,Western Connecticut Planning Region,9190,20804,Western North,34,Danbury,06811
9001210202,9190210202,2102.02,Danbury,900118500,919018500,Fairfield,9001,Western Connecticut Planning Region,9190,20804,Western North,34,Danbury,06810
9001210201,9190210201,2102.01,Danbury,900118500,919018500,Fairfield,9001,Western Connecticut Planning Region,9190,20804,Western North,34,Danbury,06810
9001210102,9190210102,2101.02,Danbury,900118500,919018500,Fairfield,9001,Western Connecticut Planning Region,9190,20804,Western North,34,Danbury,06810
9001210401,9190210401,2104.01,Danbury,900118500,919018500,Fairfield,9001,Western Connecticut Planning Region,9190,20804,Western North,34,Danbury,06810
9001050302,9190050302,503.02,Westport,900183500,919083500,Fairfield,9001,Western Connecticut Planning Region,9190,20803,Norwalk & Westport Towns,158,Westport,06880
9001021401,9190021401,214.01,Stamford,900173070,919073070,Fairfield,9001,Western Connecticut Planning Region,9190,20801,Stamford & Greenwich Towns,135,Stamford,06902
9001021402,9190021402,214.02,Stamford,900173070,919073070,Fairfield,9001,Western Connecticut Planning Region,9190,20801,Stamford & Greenwich Towns,135,Stamford,06902
9001021601,9190021601,216.01,Stamford,900173070,919073070,Fairfield,9001,Western Connecticut Planning Region,9190,20801,Stamford & Greenwich Towns,135,Stamford,06905
9001020101,9190020101,201.01,Stamford,900173070,919073070,Fairfield,9001,Western Connecticut Planning Region,9190,20801,Stamford & Greenwich Towns,135,Stamford,06901
9001021702,9190021702,217.02,Stamford,900173070,919073070,Fairfield,9001,Western Connecticut Planning Region,9190,20801,Stamford & Greenwich Towns,135,Stamford,06901
9001021501,9190021501,215.01,Stamford,900173070,919073070,Fairfield,9001,Western Connecticut Planning Region,9190,20801,Stamford & Greenwich Towns,135,Stamford,06902
9001211201,9190211201,2112.01,Danbury,900118500,919018500,Fairfield,9001,Western Connecticut Planning Region,9190,20804,Western North,34,Danbury,06811
9001210101,9190210101,2101.01,Danbury,900118500,919018500,Fairfield,9001,Western Connecticut Planning Region,9190,20804,Western North,34,Danbury,06810
9001020102,9190020102,201.02,Stamford,900173070,919073070,Fairfield,9001,Western Connecticut Planning Region,9190,20801,Stamford & Greenwich Towns,135,Stamford,06901
9001210501,9190210501,2105.01,Danbury,900118500,919018500,Fairfield,9001,Western Connecticut Planning Region,9190,20804,Western North,34,Danbury,06810
9001210402,9190210402,2104.02,Danbury,900118500,919018500,Fairfield,9001,Western Connecticut Planning Region,9190,20804,Western North,34,Danbury,06810
9001050301,9190050301,503.01,Westport,900183500,919083500,Fairfield,9001,Western Connecticut Planning Region,9190,20803,Norwalk & Westport Towns,158,Westport,06880
9013881500,9110881500,8815,Mansfield,901344910,911044910,Tolland,9013,Capitol Planning Region,9110,20203,Capitol East,219,Region 19,06268
9003430604,9110430604,4306.04,Southington,900370550,911070550,Hartford,9003,Capitol Planning Region,9110,20207,"New Britain, Southington, Berlin & Plainville Towns",131,Southington,06489
9003430501,9110430501,4305.01,Southington,900370550,911070550,Hartford,9003,Capitol Planning Region,9110,20207,"New Britain, Southington, Berlin & Plainville Towns",131,Southington,06479
9003430502,9110430502,4305.02,Southington,900370550,911070550,Hartford,9003,Capitol Planning Region,9110,20207,"New Britain, Southington, Berlin & Plainville Towns",131,Southington,06479
9003980002,9110980002,9800.02,Windsor Locks,900387070,911087070,Hartford,9003,Capitol Planning Region,9110,20202,Connecticut River North,165,Windsor Locks,06096
9003417200,9110417200,4172,New Britain,900350440,911050440,Hartford,9003,Capitol Planning Region,9110,20207,"New Britain, Southington, Berlin & Plainville Towns",89,New Britain,06053
